-80.298779, 158.623284, 0.0;
-86.751315, 166.207493, 0.0;
-93.390638, 173.628732, 0.0;
-100.212636, 180.882405, 0.0;
-107.213081, 187.964015, 0.0;
-114.387634, 194.869174, 0.0;
-121.731849, 201.593602, 0.0;
-129.241178, 208.133135, 0.0;
-136.910961, 214.483714, 0.0;
-144.736448, 220.641407, 0.0;
-152.712788, 226.602398, 0.0;
-160.83504, 232.362992, 0.0;
-169.09817, 237.919621, 0.0;
-177.497057, 243.268839, 0.0;
-186.026495, 248.407332, 0.0;
-194.681198, 253.331916, 0.0;
-203.455805, 258.039539, 0.0;
-212.344876, 262.527283, 0.0;
-221.342902, 266.792367, 0.0;
-230.444308, 270.832148, 0.0;
-239.643452, 274.644122, 0.0;
-248.934636, 278.225927, 0.0;
-258.3121, 281.575344, 0.0;
-267.770033, 284.690297, 0.0;
-277.302574, 287.568855, 0.0;
-286.903815, 290.209235, 0.0;
-296.567804, 292.609799, 0.0;
-296.567804, 292.609799, 0.0;
-306.218662, 294.854983, 0.0;
-315.88042, 297.052802, 0.0;
-325.552843, 299.203201, 0.0;
-335.235699, 301.306129, 0.0;
-344.928758, 303.361537, 0.0;
-354.631778, 305.369371, 0.0;
-364.34453, 307.329587, 0.0;
-374.06678, 309.242135, 0.0;
-383.798295, 311.106971, 0.0;
-393.538841, 312.924049, 0.0;
-403.288182, 314.693326, 0.0;
-413.046085, 316.414759, 0.0;
-422.812308, 318.088305, 0.0;
-432.586624, 319.713926, 0.0;
-442.368799, 321.291583, 0.0;
-452.158596, 322.821237, 0.0;
-461.955779, 324.302851, 0.0;
-471.760112, 325.736391, 0.0;
-481.57136, 327.121821, 0.0;
-491.389285, 328.459108, 0.0;
-501.213664, 329.748221, 0.0;
-511.044232, 330.989126, 0.0;
-520.88077, 332.181795, 0.0;
-530.72304, 333.326199, 0.0;
-540.570807, 334.422312, 0.0;
-550.423833, 335.470105, 0.0;
-560.281879, 336.469555, 0.0;
-570.14471, 337.420637, 0.0;
-580.012088, 338.323328, 0.0;
-589.883775, 339.177607, 0.0;
-599.759534, 339.983452, 0.0;
-609.639127, 340.740846, 0.0;
